"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","SIL3"
"ET429","EustonTap","1",-0.19690236031545,0.328729012581972,NA,NA,NA,39.7527703284339,36.1,1.99,0.0498,0.33,0.00497,0.0992,73.9,9.53,3.94999999999999,61.98
"ET430","EustonTap","1",-0.0389621532614797,0.0520821442109631,NA,NA,NA,15.6018221169762,14.8,1.9,0.0297,0.325,0.00319,0.0667,59.37,5.47,10.87,49.77
"ET431","EustonTap","1",-0.28368710025752,0.27186790430333,NA,NA,NA,42.0888572390151,37.5,2.04,0.042,0.307,0.00567,0.329,72.45,17.38,7.17,61.25
"ET432","EustonTap","1",-0.107597513487898,0.251549831971055,NA,NA,NA,31.4486168663074,31,1.76,0.0386,0.322,0.00505,0.188,67.66,12.72,7.18000000000001,56.58
"ET433","EustonTap","1",-0.169351220159653,0.232818089841487,NA,NA,NA,32.5065849366824,30.5,1.91,0.0386,0.305,0.00478,0.184,68.36,12.54,7.25,57.53
"ET434","EustonTap","1",-0.105573669572561,0.247409442011935,NA,NA,NA,43.3250086011468,39.3,1.99,0.0407,0.321,0.0044,0.17,69.67,5.77000000000001,7.5,59.29
"ET435","EustonTap","1",-0.00905469238126133,0.123581309946845,NA,NA,NA,19.7176423703781,18.6,1.91,0.0322,0.309,0.00609,0.243,61.47,7.01,8.11,52.22
"ET436","EustonTap","1",-0.0772123212326242,0.270074259463453,NA,NA,NA,28.5471345369746,27.2,1.87,0.0405,0.311,0.00486,0.172,68.27,7.37,5.18000000000001,57.79
"ET437","EustonTap","1",-0.136403770233975,0.203332985628545,NA,NA,NA,29.0807944772306,28.7,1.71,0.0359,0.322,0.00442,0.114,66.68,14.93,7.66999999999999,54.06
"ET438","EustonTap","1",-0.271566933584499,0.253867238100006,NA,NA,NA,43.9831872201991,35,2.37,0.0415,0.325,0.00708,0.439,72.11,13.06,4.88,63.07
"MC501","MarchmontGarden","1",0.127451322134593,-0.0459459464500546,NA,NA,NA,12.5440159712672,12.1,1.85,0.0239,0.422,0.00994,0.133,55.61,10.21,8.53,44.21
"MC502","MarchmontGarden","1",0.457789321240463,-0.162287976147459,NA,NA,NA,6.62701776727896,6.53,1.48,0.0213,0.357,0.00414,0.0687,46.46,2.99,13.92,36.55
"MC503","MarchmontGarden","1",0.213719849971098,-0.0335940740752678,NA,NA,NA,11.7686038905193,11.6,1.56,0.0251,0.337,0.00678,0.185,52.91,11.68,10.56,42.07
"MC504","MarchmontGarden","1",0.501851980097666,-0.179631855055517,NA,NA,NA,5.68104610546136,5.6,1.57,0.0199,0.312,0.00321,0.0497,45.31,1.72,11.95,35.83
"MC505","MarchmontGarden","1",0.343916147369936,-0.175555736863597,NA,NA,NA,9.12786187672459,8.26,2.08,0.0221,0.341,0.00533,0.101,49.31,2.26000000000001,10.25,41.17
"MC506","MarchmontGarden","1",0.23710012403583,-0.0451266303612887,NA,NA,NA,12.8676216364757,12.6,1.8,0.0242,0.302,0.00424,0.191,53.55,8.34999999999999,9.58000000000001,43.66
"MC507","MarchmontGarden","1",0.219772259889647,0.0021873032666704,NA,NA,NA,12.0838844888026,11.9,1.75,0.0286,0.398,0.00482,0.149,55.48,7,10.61,45.71
"MC508","MarchmontGarden","1",0.244323757554502,-0.127333448794784,NA,NA,NA,9.99086956138929,9.4,1.94,0.0234,0.381,0.00556,0.124,51.76,5.55,11.33,42.36
"MC509","MarchmontGarden","1",0.173212491591884,-0.0764967009783629,NA,NA,NA,13.169237851032,13,1.75,0.0232,0.416,0.00685,0.126,52.71,10.5,11.96,42.86
"MC510","MarchmontGarden","1",0.370269456080098,-0.144814143505488,NA,NA,NA,8.031184162448,7.9,1.44,0.0241,0.411,0.00738,0.144,50.13,2.73,17.77,38.92
"MC511","MarchmontGarden","1",0.358295180572695,-0.0741120838265335,NA,NA,NA,8.61580234590921,8.47,1.43,0.0262,0.373,0.0071,0.165,51.86,4.15,14.63,40.6
"MC512","MarchmontGarden","1",0.262112185473082,0.0431792680952972,NA,NA,NA,15.9146456802047,15.7,1.48,0.0281,0.316,0.00502,0.0991,56.9,6.98,11.19,44.93
"MC513","MarchmontGarden","1",0.435186815741916,-0.107384923660329,NA,NA,NA,7.98308711486126,7.85,1.33,0.025,0.351,0.00683,0.201,51.04,1.63,16.22,38.73
"MC514","MarchmontGarden","1",0.381167275625871,-0.124954234982094,NA,NA,NA,7.51556083371623,7.4,1.22,0.0235,0.315,0.00463,0.0972,49.09,6.2,15.6,36.3
"MC515","MarchmontGarden","1",0.328389754738838,-0.0804200511421305,NA,NA,NA,9.128570844715,8.99,1.41,0.0233,0.371,0.0076,0.0972,51.42,5.87,13.39,39.61
"MC516","MarchmontGarden","1",0.356058802515415,-0.155754015092329,NA,NA,NA,7.21544024175309,7.1,1.38,0.0229,0.399,0.00649,0.0858,48.89,5.55,15.54,36.77
"MC517","MarchmontGarden","1",0.251950145578389,-0.191478641628106,NA,NA,NA,8.36815178956737,8.19,1.61,0.0241,0.533,0.0217,0.097,50.13,5.85,17.78,39.52
"MC518","MarchmontGarden","1",0.116471191406511,-0.112612607189792,NA,NA,NA,10.3888230709565,10.2,1.61,0.0245,0.451,0.017,0.128,54.79,11.72,11.18,40.29
"MC519","MarchmontGarden","1",0.103087858723949,-0.0767381036170575,NA,NA,NA,13.8695742762465,13.7,1.75,0.0234,0.39,0.00534,0.267,55.56,10.1,15.33,44.41
"MC520","MarchmontGarden","1",0.357638123863396,-0.0232887820002478,NA,NA,NA,9.38401293274616,9.23,1.28,0.0256,0.399,0.00815,0.202,54.48,6.09,10.02,39.54
"MC521","MarchmontGarden","1",0.359449129499277,-0.0938887937427044,NA,NA,NA,9.60189943279661,9.46,1.39,0.0245,0.363,0.00551,0.0636,50.43,6.08,13.13,38.54
"MC522","MarchmontGarden","1",0.381358155297398,-0.0807660295979702,NA,NA,NA,9.08154843853303,8.94,1.43,0.0258,0.34,0.00491,0.0916,50.38,5.38,12.62,39.26
"MC523","MarchmontGarden","1",0.511460285711403,-0.143680063801191,NA,NA,NA,6.0908508604787,5.99,1.21,0.0241,0.325,0.00336,0.0561,47.04,1.8,15.93,35.3
"MC524","MarchmontGarden","1",0.489637002113532,-0.0487377767879717,NA,NA,NA,7.40737014460032,7.29,1.31,0.0251,0.321,0.00322,0.102,50.43,1.12,12.54,39.2
"MC525","MarchmontGarden","1",0.493755809707744,-0.0941736741600188,NA,NA,NA,6.97117227779845,6.86,1.37,0.0241,0.403,0.004,0.159,48.89,1.65,13.51,38.25
"MC526","MarchmontGarden","1",0.387596367019986,-0.0454822319206367,NA,NA,NA,7.90280875041919,7.77,1.39,0.0236,0.346,0.00911,0.13,50.33,6.93,9.42,39.2
"MC527","MarchmontGarden","1",0.451630460224136,-0.123029881885888,NA,NA,NA,6.54365118262288,6.44,1.3,0.0229,0.366,0.00453,0.0652,48.27,4.84,11.41,35.44
"MC528","MarchmontGarden","1",0.212262661682007,0.0105980034811056,NA,NA,NA,13.3798168731271,13.2,1.5,0.0257,0.327,0.0053,0.13,53.95,12.04,9.55,42.87
"MC529","MarchmontGarden","1",0.443407855465331,-0.125772335290012,NA,NA,NA,7.26431023362406,7.14,1.44,0.0243,0.389,0.00738,0.209,48.96,4.41,12.34,37.39
"MC530","MarchmontGarden","1",0.253442198643033,-0.147067752335212,NA,NA,NA,9.60147153467822,9.44,1.38,0.0249,0.363,0.0108,0.177,50.47,7.99,19.89,39.26
"MC531","MarchmontGarden","1",0.448392463113616,-0.0705687047017959,NA,NA,NA,7.92437790030116,7.78,1.48,0.0253,0.372,0.0104,0.155,50.1,2.72000000000001,11.86,40.15
"MC532","MarchmontGarden","1",0.399852918300425,-0.100691741724498,NA,NA,NA,8.3713595772193,8.24,1.33,0.0248,0.335,0.0053,0.0794,49.54,4.89,14.38,38.04
"MC533","MarchmontGarden","1",0.33407214056857,-0.148802776148496,NA,NA,NA,10.1719431239335,10,1.35,0.0267,0.4,0.00948,0.186,51.92,3.41,20.55,39.21
"MC534","MarchmontGarden","1",0.380587211497614,-0.081693879015541,NA,NA,NA,9.99884326735593,9.83,1.37,0.0279,0.335,0.00729,0.235,52.88,3.32,16.18,40.39
"MC535","MarchmontGarden","1",0.393510868380349,-0.167850251880556,NA,NA,NA,8.99081156899391,8.86,1.49,0.0232,0.34,0.00572,0.11,48.94,3.08,16.63,37.84
"MC536","MarchmontGarden","1",0.401667780052781,-0.0821312981678421,NA,NA,NA,7.98657894501519,7.86,1.43,0.0252,0.318,0.00433,0.0622,49.93,3.93,12.96,39.27
"MC537","MarchmontGarden","1",0.269302310780518,-0.264690504384137,NA,NA,NA,8.89178787206515,7.81,2.19,0.0228,0.314,0.00784,0.139,49.25,1.38,16.16,41.18
"MC538","MarchmontGarden","1",0.349241747936696,-0.143399003992101,NA,NA,NA,7.67523629021092,7.53,1.74,0.0236,0.458,0.0142,0.118,49.54,4.48,11.41,39.85
"MC539","MarchmontGarden","1",0.369796928011833,-0.0322556332349183,NA,NA,NA,9.33018104430581,9.18,1.47,0.024,0.397,0.00954,0.0737,51.6,6.14,8.46,40.34
"MC540","MarchmontGarden","1",0.288334733392249,-0.0279541049086282,NA,NA,NA,10.3963759937948,10.2,1.53,0.0268,0.405,0.0157,0.121,53.11,9.66999999999999,7.12,41.06
"MC541","MarchmontGarden","1",0.125865012404552,0.017319112616971,NA,NA,NA,18.1456788268483,17.5,1.84,0.0302,0.508,0.0184,0.15,58.89,12.31,5.36,46.16
"MG201","MonumentoGaribaldi","1",0.154303696135537,0.222538345564976,NA,NA,NA,25.5547509215931,24.8,1.82,0.0352,0.27,0.00555,0.428,65.34,7.78,9.89,54.43
"MG202","MonumentoGaribaldi","1",0.153671035235816,0.229957476970826,NA,NA,NA,25.918123413547,24.7,1.87,0.0407,0.339,0.0102,0.323,66.01,7.12,8.89,55.07
"MG203","MonumentoGaribaldi","1",0.229332555612137,0.260609325805638,NA,NA,NA,28.0199511178239,25.4,2.01,0.0558,0.358,0.01,0.338,67.21,3.5,8.13000000000001,57.45
"MG204","MonumentoGaribaldi","1",0.348980663449555,0.287847744325592,NA,NA,NA,28.5828694850409,26.2,1.97,0.0829,0.412,0.00425,0.307,68.6,2.22999999999999,6.62,57.2
"MG205","MonumentoGaribaldi","1",0.620875744771294,0.312627314687439,NA,NA,NA,23.2234763114705,22.1,1.74,0.132,0.403,0.0031,0.38,67.58,1.98999999999999,6.89,55.88
"MG206","MonumentoGaribaldi","1",0.600352735238555,0.297682965928522,NA,NA,NA,22.2318799659455,21.2,1.67,0.124,0.393,0.00337,0.405,67.08,1.97,7.44,54.78
"MG207","MonumentoGaribaldi","1",0.700865338779326,0.310963449021293,NA,NA,NA,22.3876128139506,21.2,1.66,0.143,0.413,0.00345,0.429,67.04,1.98999999999999,6.97999999999999,55.04
"MG208","MonumentoGaribaldi","1",0.628239200332992,0.303165035456357,NA,NA,NA,22.5913368128971,21.5,1.7,0.13,0.418,0.0036,0.384,66.91,1.94,7.22,55.25
