"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"CT531","CamdenTown","1",-0.134255065009141,0.401396110698878,2.9951977562725,3.75199669747539,1.21819149954961,50.1896213823284,44.2,2.06,0.0554,0.353,0.00793,0.316,72.64,8.45999999999999,10.77,60.15
"CT532","CamdenTown","1",0.0431706856589285,0.17051861603801,3.27073225529444,3.46190494153087,1.86158973186801,19.8316784274892,19.5,1.56,0.0342,0.509,0.0127,0.131,61.53,6.00000000000001,10.08,49.72
"CT533","CamdenTown","1",-0.0304291273262505,0.365735236922816,3.05953347590333,3.64730603724881,1.58942105221381,32.3886182799597,31.9,1.76,0.0407,0.367,0.00662,0.104,68.64,14.68,6.84,55.8
"CT534","CamdenTown","1",0.0479820211715713,0.217795989615264,3.39018436137273,3.41330449582569,1.76495752627435,19.7326851922857,19.4,1.76,0.0344,0.383,0.0113,0.375,63.17,7.58000000000001,9.41,52.3
"CT535","CamdenTown","1",-0.0502854599616035,0.425244657822334,3.16664163199383,3.66794066832996,1.57835886310349,35.86859647743,33.6,1.91,0.0445,0.33,0.00838,0.279,69.71,11.09,4.21000000000001,57.99
"CT536","CamdenTown","1",0.024291675525861,0.203905541744507,3.24460852022084,3.41676850329886,1.69269570375743,22.6470142479564,22.3,1.67,0.0357,0.347,0.00823,0.333,63.3,7.03,11.57,51.71
"CT537","CamdenTown","1",-0.0245453797627485,0.366210222469773,3.16632943134139,3.66679596497798,1.48759244444737,32.9431071510359,30.9,1.91,0.0409,0.364,0.00507,0.186,68.64,13.76,8.22,57.19
"CT538","CamdenTown","1",-0.031080087431953,0.31191191261011,3.23600616198718,3.35523596658387,1.57042464134035,34.3951750207956,33.5,1.79,0.0598,0.363,0.00892,0.525,68.27,14.39,9.04000000000001,55.12
"CT539","CamdenTown","1",-0.0723801307900842,0.31478396545565,2.99746535148332,3.60505081267779,1.52931069000581,39.3632286922439,35.9,1.98,0.0386,0.335,0.00575,0.285,67.35,11.21,9.31,56.48
"CT540","CamdenTown","1",-0.0453599256941502,0.393512528481979,3.19470157250947,3.62548120695901,1.49241304359246,36.1695115875486,33.5,1.94,0.0476,0.332,0.00854,0.332,69.28,11.92,6.78999999999999,57.98
"CT541","CamdenTown","1",0.0175045905939811,0.263575904391575,3.2347508954309,3.5683576110442,1.57751842668652,24.2779649012914,23.9,1.74,0.0359,0.368,0.0107,0.194,64.96,9.43000000000001,10.83,53.9
"CT542","CamdenTown","1",-0.0079575695586542,0.336500351788147,3.25547614346916,3.64253827243065,1.50208999942117,29.931732985091,27.9,1.93,0.0369,0.351,0.0142,0.248,66.86,11.83,8.54000000000001,56.95
"CT543","CamdenTown","1",-0.0697286643985644,0.316366381447802,3.0345531977348,3.5217461654567,1.55104787455143,39.2049820094806,36.3,1.94,0.0348,0.342,0.00592,0.355,67.66,14.64,8.98,56.16
"CT544","CamdenTown","1",-0.0933060015803155,0.435802784817004,3.030409519248,3.81058048508168,1.4300750931164,45.9416686518882,39,2.17,0.0411,0.339,0.00591,0.204,70.82,12.11,5.74000000000001,60.46
"CT545","CamdenTown","1",-0.134667909408286,0.431708919052617,2.84763482267948,3.72376113395099,1.49402780358261,50.6682015889163,45.6,2,0.0688,0.323,0.00985,0.255,73.14,9.18000000000001,5.04000000000001,59.12
"ET401","EustonTap","1",-0.158418095241567,0.27743075444029,2.65446078683254,3.79122103922786,1.5857237744598,29.3714346659045,28.9,1.74,0.0444,0.333,0.00524,0.115,69.23,6.22999999999999,6.67999999999999,57.49
"ET402","EustonTap","1",-0.167972725819122,0.20496583405867,2.70005399814642,3.98190318397676,2.13282870160895,22.9025854200447,22.6,1.62,0.0324,0.335,0.00484,0.126,62.97,10.36,5.02,50.56
"ET403","EustonTap","1",-0.132399417940784,0.263628196725552,2.75281363578236,3.88478154397041,1.74403406489341,23.6787015248632,23.3,1.71,0.041,0.31,0.00417,0.119,66.83,8.25999999999999,5.84,55.69
