"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA"
"ET403","EustonTap","1",-0.123472704913675,0.222041708243198,NA,NA,NA,23.6787015248632,23.3,1.71,0.041,0.31,0.00417,0.119,66.83,8.25999999999999,5.84
"ET404","EustonTap","1",0.0115834939534517,0.0656656159943904,NA,NA,NA,15.1126451354213,14.9,1.67,0.0286,0.293,0.00532,0.159,58.56,2.64,10.71
"ET405","EustonTap","1",-0.103100761471819,0.203925679841101,NA,NA,NA,22.8278900220474,22,1.84,0.0402,0.308,0.00449,0.125,66.89,3.92999999999999,6.34
"ET406","EustonTap","1",-0.0560562534854697,0.121915050692077,NA,NA,NA,15.7477709945166,15.5,1.53,0.0318,0.33,0.00717,0.23,59.79,4.39,13.6
"ET407","EustonTap","1",-0.160895034064631,0.241282950568205,NA,NA,NA,27.8491103760016,26.8,1.84,0.0454,0.316,0.00481,0.165,68.41,6.58000000000001,6.89
"ET408","EustonTap","1",0.000404577538353323,0.0955478193928972,NA,NA,NA,16.0345128266808,15.8,1.52,0.0318,0.311,0.00364,0.0649,59.59,7.23999999999999,7.7
"ET409","EustonTap","1",-0.244796449123959,0.259806137629491,NA,NA,NA,31.2375558277004,29.1,1.93,0.0441,0.315,0.00537,0.172,69.98,16.48,6.16
"ET410","EustonTap","1",-0.162145452681787,0.228917736282606,NA,NA,NA,22.7251936641266,22.4,1.6,0.0355,0.284,0.00449,0.359,64.31,13.06,10.5
"ET411","EustonTap","1",-0.0653542469850855,0.146164394237734,NA,NA,NA,18.2652493166334,18,1.6,0.0329,0.299,0.00435,0.274,60.95,7.63,10.69
"ET412","EustonTap","1",-0.0456100998930576,0.104071486861318,NA,NA,NA,18.8197129850512,17.7,1.92,0.0353,0.394,0.00354,0.0679,63,2.69,8.43000000000001
"ET413","EustonTap","1",-0.0382680010062508,0.112480283213539,NA,NA,NA,18.3830817218998,18.1,1.71,0.0342,0.403,0.00582,0.0725,61.94,4.07,8.74000000000001
"ET414","EustonTap","1",-0.0556108767985697,0.193422449748304,NA,NA,NA,19.8265996015683,19.5,1.63,0.0394,0.306,0.00392,0.0533,65.36,3.48,5.27
"ET415","EustonTap","1",-0.0517216313040948,0.114751810576499,NA,NA,NA,15.6572012461651,15.4,1.72,0.0354,0.338,0.00408,0.068,62.05,1.28,11.5
