"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"CT532","CamdenTown","1",0.0913480836422848,0.147835589500355,NA,NA,NA,19.8316784274892,19.5,1.56,0.0342,0.509,0.0127,0.131,61.53,6.00000000000001,10.08,12.9
"CT533","CamdenTown","1",0.0102123010464062,0.28364396636118,NA,NA,NA,32.3886182799597,31.9,1.76,0.0407,0.367,0.00662,0.104,68.64,14.68,6.84,12.8
"CT534","CamdenTown","1",0.0908743396451908,0.211319275032491,NA,NA,NA,19.7326851922857,19.4,1.76,0.0344,0.383,0.0113,0.375,63.17,7.58000000000001,9.41,13.2
"CT535","CamdenTown","1",-0.0262306841115625,0.338404488403781,NA,NA,NA,35.86859647743,33.6,1.91,0.0445,0.33,0.00838,0.279,69.71,11.09,4.21000000000001,12.5
"CT536","CamdenTown","1",0.066551949017828,0.207475175347267,NA,NA,NA,22.6470142479564,22.3,1.67,0.0357,0.347,0.00823,0.333,63.3,7.03,11.57,13.8
"CT537","CamdenTown","1",0.0119061168658106,0.268632972441495,NA,NA,NA,32.9431071510359,30.9,1.91,0.0409,0.364,0.00507,0.186,68.64,13.76,8.22,13.4
"CT538","CamdenTown","1",-0.000781407767686843,0.351404708053834,NA,NA,NA,34.3951750207956,33.5,1.79,0.0598,0.363,0.00892,0.525,68.27,14.39,9.04000000000001,12.7
"CT539","CamdenTown","1",-0.028868369528849,0.244620207478093,NA,NA,NA,39.3632286922439,35.9,1.98,0.0386,0.335,0.00575,0.285,67.35,11.21,9.31,12.6
"CT540","CamdenTown","1",-0.0192631738349321,0.317293931763719,NA,NA,NA,36.1695115875486,33.5,1.94,0.0476,0.332,0.00854,0.332,69.28,11.92,6.78999999999999,12.4
"CT541","CamdenTown","1",0.0585503686268409,0.198083328124319,NA,NA,NA,24.2779649012914,23.9,1.74,0.0359,0.368,0.0107,0.194,64.96,9.43000000000001,10.83,14
"CT542","CamdenTown","1",0.0329105369576621,0.228937002337695,NA,NA,NA,29.931732985091,27.9,1.93,0.0369,0.351,0.0142,0.248,66.86,11.83,8.54000000000001,13.9
"CT543","CamdenTown","1",-0.0152182689338395,0.276848771367216,NA,NA,NA,39.2049820094806,36.3,1.94,0.0348,0.342,0.00592,0.355,67.66,14.64,8.98,12.5
"CT544","CamdenTown","1",-0.0651859711732079,0.289423725534707,NA,NA,NA,45.9416686518882,39,2.17,0.0411,0.339,0.00591,0.204,70.82,12.11,5.74000000000001,13.3
"CT545","CamdenTown","1",-0.139961424824143,0.378318694973446,NA,NA,NA,50.6682015889163,45.6,2,0.0688,0.323,0.00985,0.255,73.14,9.18000000000001,5.04000000000001,12.9
"ET401","EustonTap","1",-0.175526414663555,0.304825247968528,NA,NA,NA,29.3714346659045,28.9,1.74,0.0444,0.333,0.00524,0.115,69.23,6.22999999999999,6.67999999999999,12.6
"ET402","EustonTap","1",-0.0590597794561232,0.214430683169076,NA,NA,NA,22.9025854200447,22.6,1.62,0.0324,0.335,0.00484,0.126,62.97,10.36,5.02,10.7
"ET403","EustonTap","1",-0.106317833966578,0.270110588962438,NA,NA,NA,23.6787015248632,23.3,1.71,0.041,0.31,0.00417,0.119,66.83,8.25999999999999,5.84,12.1
"ET404","EustonTap","1",-0.0145912268947556,0.0802527464887767,NA,NA,NA,15.1126451354213,14.9,1.67,0.0286,0.293,0.00532,0.159,58.56,2.64,10.71,11.2
"ET405","EustonTap","1",-0.121686640320921,0.24582918036755,NA,NA,NA,22.8278900220474,22,1.84,0.0402,0.308,0.00449,0.125,66.89,3.92999999999999,6.34,12.4
"ET406","EustonTap","1",-0.0196902647826722,0.122179063346783,NA,NA,NA,15.7477709945166,15.5,1.53,0.0318,0.33,0.00717,0.23,59.79,4.39,13.6,13.3
"ET407","EustonTap","1",-0.152606145223298,0.281617697198938,NA,NA,NA,27.8491103760016,26.8,1.84,0.0454,0.316,0.00481,0.165,68.41,6.58000000000001,6.89,12.9
"ET408","EustonTap","1",-0.00295853014694841,0.130035781555149,NA,NA,NA,16.0345128266808,15.8,1.52,0.0318,0.311,0.00364,0.0649,59.59,7.23999999999999,7.7,10.8
"ET409","EustonTap","1",-0.126486665564982,0.3042131480542,NA,NA,NA,31.2375558277004,29.1,1.93,0.0441,0.315,0.00537,0.172,69.98,16.48,6.16,12.5
"ET410","EustonTap","1",-0.0549746826032118,0.259594623852802,NA,NA,NA,22.7251936641266,22.4,1.6,0.0355,0.284,0.00449,0.359,64.31,13.06,10.5,11.3
"ET411","EustonTap","1",-0.0276587543496691,0.169873953203008,NA,NA,NA,18.2652493166334,18,1.6,0.0329,0.299,0.00435,0.274,60.95,7.63,10.69,11.1
"ET412","EustonTap","1",-0.0683700390476272,0.12472597959262,NA,NA,NA,18.8197129850512,17.7,1.92,0.0353,0.394,0.00354,0.0679,63,2.69,8.43000000000001,11.5
"ET413","EustonTap","1",-0.0552286804441255,0.135529832912494,NA,NA,NA,18.3830817218998,18.1,1.71,0.0342,0.403,0.00582,0.0725,61.94,4.07,8.74000000000001,11.8
"ET414","EustonTap","1",-0.0944023210017592,0.243242584305799,NA,NA,NA,19.8265996015683,19.5,1.63,0.0394,0.306,0.00392,0.0533,65.36,3.48,5.27,11.3
"ET415","EustonTap","1",-0.05345614609879,0.11639441387049,NA,NA,NA,15.6572012461651,15.4,1.72,0.0354,0.338,0.00408,0.068,62.05,1.28,11.5,11
"ET416","EustonTap","1",-0.162996604812472,0.191744640462175,NA,NA,NA,34.5884206000934,29.9,2.14,0.0405,0.31,0.00572,0.226,67.07,6.81000000000001,10,13.1
"ET417","EustonTap","1",-0.108032598223628,0.161480362054454,NA,NA,NA,22.4438647455643,21,1.93,0.0359,0.299,0.00408,0.238,64.53,2.05,12.7,12.2
"ET418","EustonTap","1",-0.0733150096548515,0.173593747002177,NA,NA,NA,18.9778548755392,18.2,1.86,0.0339,0.294,0.00539,0.2,63.33,2.88,8.07000000000001,11.5
"ET419","EustonTap","1",-0.237256880078961,0.321411968595794,NA,NA,NA,43.9291480773218,34.1,2.45,0.0473,0.357,0.00631,0.409,73,7.03,7.28,14
"ET420","EustonTap","1",-0.178800779554928,0.227254443990044,NA,NA,NA,29.9093222877716,25.7,2.17,0.0396,0.344,0.00668,0.0923,68.93,1.08999999999999,5.22999999999999,12.2
"ET421","EustonTap","1",-0.154763692304646,0.235530275499585,NA,NA,NA,25.1047181982338,22.9,2,0.0412,0.313,0.00502,0.0581,68.52,1.39,6.18000000000001,12.3
"ET422","EustonTap","1",-0.0920256134100309,0.106452177185458,NA,NA,NA,21.2477901783771,19,2.07,0.0351,0.295,0.0128,0.114,63.85,1.3,9.45,11.7
"ET423","EustonTap","1",-0.00754776496578718,0.0753774488340969,NA,NA,NA,15.6256740097679,15.1,1.84,0.0311,0.295,0.00375,0.0822,60.25,6.58,9.83,10.9
"ET424","EustonTap","1",-0.0894994495741558,0.166503706361462,NA,NA,NA,26.6296705499804,23.1,2.15,0.0381,0.326,0.00638,0.208,65.53,9.31,8.28999999999999,12.1
"ET425","EustonTap","1",-0.150613206275084,0.300605326624825,NA,NA,NA,33.1331088384768,30.3,1.98,0.0406,0.322,0.00603,0.24,69.18,12.4,5.36,12.2
"ET426","EustonTap","1",-0.166815790784352,0.288604111381488,NA,NA,NA,32.0787491592715,30.3,1.89,0.047,0.349,0.00585,0.132,69.35,9.73,6.11,12.9
"ET427","EustonTap","1",-0.261424050732691,0.342281645217906,NA,NA,NA,43.6518426301061,39,2.03,0.0463,0.328,0.0057,0.118,72.8,8.39,4.63000000000001,13.2
"ET428","EustonTap","1",-0.0611659379695324,0.172873740191921,NA,NA,NA,22.5116846331124,22.2,1.73,0.0345,0.324,0.00389,0.14,63.03,9.73999999999999,8.73999999999999,11.5
"ET429","EustonTap","1",-0.243645460844703,0.373267214086147,NA,NA,NA,39.7527703284339,36.1,1.99,0.0498,0.33,0.00497,0.0992,73.9,9.53,3.94999999999999,13
"ET430","EustonTap","1",-0.00484836443678449,0.0362183683776453,NA,NA,NA,15.6018221169762,14.8,1.9,0.0297,0.325,0.00319,0.0667,59.37,5.47,10.87,12.1
"ET431","EustonTap","1",-0.199607465292445,0.364496137465781,NA,NA,NA,42.0888572390151,37.5,2.04,0.042,0.307,0.00567,0.329,72.45,17.38,7.17,12.7
"ET432","EustonTap","1",-0.142115589403784,0.283319094441899,NA,NA,NA,31.4486168663074,31,1.76,0.0386,0.322,0.00505,0.188,67.66,12.72,7.18000000000001,12.4
"ET433","EustonTap","1",-0.145221466203056,0.27021644947921,NA,NA,NA,32.5065849366824,30.5,1.91,0.0386,0.305,0.00478,0.184,68.36,12.54,7.25,12.6
"ET434","EustonTap","1",-0.2537789832046,0.278127384302531,NA,NA,NA,43.3250086011468,39.3,1.99,0.0407,0.321,0.0044,0.17,69.67,5.77000000000001,7.5,12.5
"ET435","EustonTap","1",-0.0386553348444966,0.136088051798677,NA,NA,NA,19.7176423703781,18.6,1.91,0.0322,0.309,0.00609,0.243,61.47,7.01,8.11,11
"ET436","EustonTap","1",-0.149470304608179,0.288093895007532,NA,NA,NA,28.5471345369746,27.2,1.87,0.0405,0.311,0.00486,0.172,68.27,7.37,5.18000000000001,12.4
"ET437","EustonTap","1",-0.106408054669534,0.251666196798966,NA,NA,NA,29.0807944772306,28.7,1.71,0.0359,0.322,0.00442,0.114,66.68,14.93,7.66999999999999,11.3
"ET438","EustonTap","1",-0.202686367212835,0.341603175968109,NA,NA,NA,43.9831872201991,35,2.37,0.0415,0.325,0.00708,0.439,72.11,13.06,4.88,12.6
"MC501","MarchmontGarden","1",0.117134754700098,-0.007034529676038,NA,NA,NA,12.5440159712672,12.1,1.85,0.0239,0.422,0.00994,0.133,55.61,10.21,8.53,10.5
"MC502","MarchmontGarden","1",0.220827157326848,-0.176467125079357,NA,NA,NA,6.62701776727896,6.53,1.48,0.0213,0.357,0.00414,0.0687,46.46,2.99,13.92,9.23
"MC503","MarchmontGarden","1",0.0742397924007344,-0.00990066957191629,NA,NA,NA,11.7686038905193,11.6,1.56,0.0251,0.337,0.00678,0.185,52.91,11.68,10.56,9.1
"MC504","MarchmontGarden","1",0.185992552721043,-0.203868882680853,NA,NA,NA,5.68104610546136,5.6,1.57,0.0199,0.312,0.00321,0.0497,45.31,1.72,11.95,8.53
"MC505","MarchmontGarden","1",0.207765339103608,-0.189506856667662,NA,NA,NA,9.12786187672459,8.26,2.08,0.0221,0.341,0.00533,0.101,49.31,2.26000000000001,10.25,8.97
"MC506","MarchmontGarden","1",0.129701120519645,-0.0265151509836746,NA,NA,NA,12.8676216364757,12.6,1.8,0.0242,0.302,0.00424,0.191,53.55,8.34999999999999,9.58000000000001,9.12
"MC507","MarchmontGarden","1",0.22735403092986,0.00280157927885565,NA,NA,NA,12.0838844888026,11.9,1.75,0.0286,0.398,0.00482,0.149,55.48,7,10.61,9.31
"MC508","MarchmontGarden","1",0.20849758402714,-0.118329253442709,NA,NA,NA,9.99086956138929,9.4,1.94,0.0234,0.381,0.00556,0.124,51.76,5.55,11.33,10.1
"MC509","MarchmontGarden","1",0.114886460369179,-0.0719079703655405,NA,NA,NA,13.169237851032,13,1.75,0.0232,0.416,0.00685,0.126,52.71,10.5,11.96,10.6
"MC510","MarchmontGarden","1",0.380466653630124,-0.110606638292557,NA,NA,NA,8.031184162448,7.9,1.44,0.0241,0.411,0.00738,0.144,50.13,2.73,17.77,11.7
"MC511","MarchmontGarden","1",0.317386099519372,-0.0445565482793402,NA,NA,NA,8.61580234590921,8.47,1.43,0.0262,0.373,0.0071,0.165,51.86,4.15,14.63,10.9
"MC512","MarchmontGarden","1",0.245209850928299,0.0622322632983817,NA,NA,NA,15.9146456802047,15.7,1.48,0.0281,0.316,0.00502,0.0991,56.9,6.98,11.19,11.1
"MC513","MarchmontGarden","1",0.39039036618643,-0.0468439108367362,NA,NA,NA,7.98308711486126,7.85,1.33,0.025,0.351,0.00683,0.201,51.04,1.63,16.22,11.4
"MC514","MarchmontGarden","1",0.241980584899316,-0.0842660810587199,NA,NA,NA,7.51556083371623,7.4,1.22,0.0235,0.315,0.00463,0.0972,49.09,6.2,15.6,9.75
"MC515","MarchmontGarden","1",0.241547004048319,-0.0574343078384491,NA,NA,NA,9.128570844715,8.99,1.41,0.0233,0.371,0.0076,0.0972,51.42,5.87,13.39,10.7
"MC516","MarchmontGarden","1",0.251909762106336,-0.121061551038274,NA,NA,NA,7.21544024175309,7.1,1.38,0.0229,0.399,0.00649,0.0858,48.89,5.55,15.54,10.4
"MC517","MarchmontGarden","1",0.313648724637665,-0.171038494614773,NA,NA,NA,8.36815178956737,8.19,1.61,0.0241,0.533,0.0217,0.097,50.13,5.85,17.78,12.9
"MC518","MarchmontGarden","1",0.137839578555083,-0.0126359261895037,NA,NA,NA,10.3888230709565,10.2,1.61,0.0245,0.451,0.017,0.128,54.79,11.72,11.18,11.3
"MC519","MarchmontGarden","1",0.253693903492794,-0.00393363668867239,NA,NA,NA,13.8695742762465,13.7,1.75,0.0234,0.39,0.00534,0.267,55.56,10.1,15.33,10.5
"MC520","MarchmontGarden","1",0.230086927355966,0.0771590516007323,NA,NA,NA,9.38401293274616,9.23,1.28,0.0256,0.399,0.00815,0.202,54.48,6.09,10.02,10.2
"MC521","MarchmontGarden","1",0.20652226781604,-0.0772357107791392,NA,NA,NA,9.60189943279661,9.46,1.39,0.0245,0.363,0.00551,0.0636,50.43,6.08,13.13,10.1
"MC522","MarchmontGarden","1",0.21262772255475,-0.0738851864681953,NA,NA,NA,9.08154843853303,8.94,1.43,0.0258,0.34,0.00491,0.0916,50.38,5.38,12.62,9.82
"MC523","MarchmontGarden","1",0.305423671276452,-0.134708029258491,NA,NA,NA,6.0908508604787,5.99,1.21,0.0241,0.325,0.00336,0.0561,47.04,1.8,15.93,9.7
"MC524","MarchmontGarden","1",0.312215117088715,-0.0465298358823555,NA,NA,NA,7.40737014460032,7.29,1.31,0.0251,0.321,0.00322,0.102,50.43,1.12,12.54,10
"MC525","MarchmontGarden","1",0.291134649116582,-0.0831056396389183,NA,NA,NA,6.97117227779845,6.86,1.37,0.0241,0.403,0.004,0.159,48.89,1.65,13.51,10
"MC526","MarchmontGarden","1",0.118408379859077,-0.0402243558589308,NA,NA,NA,7.90280875041919,7.77,1.39,0.0236,0.346,0.00911,0.13,50.33,6.93,9.42,9.6
"MC527","MarchmontGarden","1",0.168683792309817,-0.0906238434032124,NA,NA,NA,6.54365118262288,6.44,1.3,0.0229,0.366,0.00453,0.0652,48.27,4.84,11.41,9.43
"MC528","MarchmontGarden","1",0.0568013328529078,0.018254795040463,NA,NA,NA,13.3798168731271,13.2,1.5,0.0257,0.327,0.0053,0.13,53.95,12.04,9.55,9.64
"MC529","MarchmontGarden","1",0.208017156081383,-0.0777252980234644,NA,NA,NA,7.26431023362406,7.14,1.44,0.0243,0.389,0.00738,0.209,48.96,4.41,12.34,9.55
"MC530","MarchmontGarden","1",0.313318963889189,-0.106075818469654,NA,NA,NA,9.60147153467822,9.44,1.38,0.0249,0.363,0.0108,0.177,50.47,7.99,19.89,11.3
"MC531","MarchmontGarden","1",0.253566574896118,-0.0749002716414315,NA,NA,NA,7.92437790030116,7.78,1.48,0.0253,0.372,0.0104,0.155,50.1,2.72000000000001,11.86,9.68
"MC532","MarchmontGarden","1",0.247098712364736,-0.0902485536092743,NA,NA,NA,8.3713595772193,8.24,1.33,0.0248,0.335,0.0053,0.0794,49.54,4.89,14.38,10.1
"MC533","MarchmontGarden","1",0.451029762753005,-0.0724593799274668,NA,NA,NA,10.1719431239335,10,1.35,0.0267,0.4,0.00948,0.186,51.92,3.41,20.55,12.9
"MC534","MarchmontGarden","1",0.381103169651536,-0.00869351304844995,NA,NA,NA,9.99884326735593,9.83,1.37,0.0279,0.335,0.00729,0.235,52.88,3.32,16.18,11.1
