"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"ET437","EustonTap","1",-0.229229013135723,0.276143277783584,29.0807944772306,28.7,1.71,0.0359,0.322,0.00442,0.114,66.68,14.93,7.66999999999999,11.3
"ET438","EustonTap","1",-0.235572196654469,0.140882756690391,43.9831872201991,35,2.37,0.0415,0.325,0.00708,0.439,72.11,13.06,4.88,12.6
"MC501","MarchmontGarden","1",0.211145568255775,-0.017276131918277,12.5440159712672,12.1,1.85,0.0239,0.422,0.00994,0.133,55.61,10.21,8.53,10.5
"MC502","MarchmontGarden","1",0.413970130171797,-0.205446598796451,6.62701776727896,6.53,1.48,0.0213,0.357,0.00414,0.0687,46.46,2.99,13.92,9.23
"MC503","MarchmontGarden","1",0.258137267434836,-0.0554405886700113,11.7686038905193,11.6,1.56,0.0251,0.337,0.00678,0.185,52.91,11.68,10.56,9.1
"MC504","MarchmontGarden","1",0.388766904769606,-0.244634037902219,5.68104610546136,5.6,1.57,0.0199,0.312,0.00321,0.0497,45.31,1.72,11.95,8.53
"MC505","MarchmontGarden","1",0.318582145574957,-0.232213455172787,9.12786187672459,8.26,2.08,0.0221,0.341,0.00533,0.101,49.31,2.26000000000001,10.25,8.97
"MC506","MarchmontGarden","1",0.221970780126494,-0.0697013412395398,12.8676216364757,12.6,1.8,0.0242,0.302,0.00424,0.191,53.55,8.34999999999999,9.58000000000001,9.12
"MC507","MarchmontGarden","1",0.254238639139501,-0.0452029704860287,12.0838844888026,11.9,1.75,0.0286,0.398,0.00482,0.149,55.48,7,10.61,9.31
"MC508","MarchmontGarden","1",0.317671686110288,-0.145833756726346,9.99086956138929,9.4,1.94,0.0234,0.381,0.00556,0.124,51.76,5.55,11.33,10.1
"MC509","MarchmontGarden","1",0.263220753942975,-0.0755838400662147,13.169237851032,13,1.75,0.0232,0.416,0.00685,0.126,52.71,10.5,11.96,10.6
"MC510","MarchmontGarden","1",0.470943648811523,-0.113690509944009,8.031184162448,7.9,1.44,0.0241,0.411,0.00738,0.144,50.13,2.73,17.77,11.7
"MC511","MarchmontGarden","1",0.396109084294483,-0.0790156239408005,8.61580234590921,8.47,1.43,0.0262,0.373,0.0071,0.165,51.86,4.15,14.63,10.9
"MC512","MarchmontGarden","1",0.201516741428944,0.057021807566576,15.9146456802047,15.7,1.48,0.0281,0.316,0.00502,0.0991,56.9,6.98,11.19,11.1
"MC513","MarchmontGarden","1",0.439615549032202,-0.0756668695475233,7.98308711486126,7.85,1.33,0.025,0.351,0.00683,0.201,51.04,1.63,16.22,11.4
"MC514","MarchmontGarden","1",0.434211252488294,-0.100166065247997,7.51556083371623,7.4,1.22,0.0235,0.315,0.00463,0.0972,49.09,6.2,15.6,9.75
"MC515","MarchmontGarden","1",0.361318666131817,-0.0616517200537556,9.128570844715,8.99,1.41,0.0233,0.371,0.0076,0.0972,51.42,5.87,13.39,10.7
"MC516","MarchmontGarden","1",0.438109812604807,-0.130043993737299,7.21544024175309,7.1,1.38,0.0229,0.399,0.00649,0.0858,48.89,5.55,15.54,10.4
"MC517","MarchmontGarden","1",0.466819549499325,-0.143427701593963,8.36815178956737,8.19,1.61,0.0241,0.533,0.0217,0.097,50.13,5.85,17.78,12.9
"MC518","MarchmontGarden","1",0.295319102802667,-0.00791793756040998,10.3888230709565,10.2,1.61,0.0245,0.451,0.017,0.128,54.79,11.72,11.18,11.3
"MC519","MarchmontGarden","1",0.321250587715982,0.00650226647592694,13.8695742762465,13.7,1.75,0.0234,0.39,0.00534,0.267,55.56,10.1,15.33,10.5
"MC520","MarchmontGarden","1",0.287377385420335,0.0304668555044641,9.38401293274616,9.23,1.28,0.0256,0.399,0.00815,0.202,54.48,6.09,10.02,10.2
"MC521","MarchmontGarden","1",0.347897134955233,-0.0960985257480182,9.60189943279661,9.46,1.39,0.0245,0.363,0.00551,0.0636,50.43,6.08,13.13,10.1
"MC522","MarchmontGarden","1",0.346215219269414,-0.117225740626359,9.08154843853303,8.94,1.43,0.0258,0.34,0.00491,0.0916,50.38,5.38,12.62,9.82
"MC523","MarchmontGarden","1",0.465059225418147,-0.165950373289955,6.0908508604787,5.99,1.21,0.0241,0.325,0.00336,0.0561,47.04,1.8,15.93,9.7
"MC524","MarchmontGarden","1",0.372530541048663,-0.0918372996533359,7.40737014460032,7.29,1.31,0.0251,0.321,0.00322,0.102,50.43,1.12,12.54,10
"MC525","MarchmontGarden","1",0.399981657036947,-0.139280100800803,6.97117227779845,6.86,1.37,0.0241,0.403,0.004,0.159,48.89,1.65,13.51,10
"MC526","MarchmontGarden","1",0.299666997686278,-0.0948628749958558,7.90280875041919,7.77,1.39,0.0236,0.346,0.00911,0.13,50.33,6.93,9.42,9.6
"MC527","MarchmontGarden","1",0.363442461941747,-0.135083083146673,6.54365118262288,6.44,1.3,0.0229,0.366,0.00453,0.0652,48.27,4.84,11.41,9.43
"MC528","MarchmontGarden","1",0.209849792527002,-0.0163480788843201,13.3798168731271,13.2,1.5,0.0257,0.327,0.0053,0.13,53.95,12.04,9.55,9.64
"MC529","MarchmontGarden","1",0.371042821147175,-0.150911807072117,7.26431023362406,7.14,1.44,0.0243,0.389,0.00738,0.209,48.96,4.41,12.34,9.55
"MC530","MarchmontGarden","1",0.488994517741942,-0.0966484580978154,9.60147153467822,9.44,1.38,0.0249,0.363,0.0108,0.177,50.47,7.99,19.89,11.3
"MC531","MarchmontGarden","1",0.350361943326207,-0.132454535849291,7.92437790030116,7.78,1.48,0.0253,0.372,0.0104,0.155,50.1,2.72000000000001,11.86,9.68
"MC532","MarchmontGarden","1",0.394661805796581,-0.116373667476281,8.3713595772193,8.24,1.33,0.0248,0.335,0.0053,0.0794,49.54,4.89,14.38,10.1
"MC533","MarchmontGarden","1",0.493246134640612,-0.0638809432091551,10.1719431239335,10,1.35,0.0267,0.4,0.00948,0.186,51.92,3.41,20.55,12.9
"MC534","MarchmontGarden","1",0.405303211313228,-0.050619938681572,9.99884326735593,9.83,1.37,0.0279,0.335,0.00729,0.235,52.88,3.32,16.18,11.1
"MC535","MarchmontGarden","1",0.430776296036016,-0.147032174941848,8.99081156899391,8.86,1.49,0.0232,0.34,0.00572,0.11,48.94,3.08,16.63,9.97
"MC536","MarchmontGarden","1",0.371605612220324,-0.127387125679262,7.98657894501519,7.86,1.43,0.0252,0.318,0.00433,0.0622,49.93,3.93,12.96,9.68
"MC537","MarchmontGarden","1",0.452055826988619,-0.260308057990821,8.89178787206515,7.81,2.19,0.0228,0.314,0.00784,0.139,49.25,1.38,16.16,10.2
"MC538","MarchmontGarden","1",0.345311101245349,-0.18092766572158,7.67523629021092,7.53,1.74,0.0236,0.458,0.0142,0.118,49.54,4.48,11.41,10.4
"MC539","MarchmontGarden","1",0.255762876323034,-0.072887190482876,9.33018104430581,9.18,1.47,0.024,0.397,0.00954,0.0737,51.6,6.14,8.46,9.74
"MC540","MarchmontGarden","1",0.211047863707901,-0.0621732469679248,10.3963759937948,10.2,1.53,0.0268,0.405,0.0157,0.121,53.11,9.66999999999999,7.12,9.88
"MC541","MarchmontGarden","1",0.0553819942106917,0.0364941765079059,18.1456788268483,17.5,1.84,0.0302,0.508,0.0184,0.15,58.89,12.31,5.36,10.5
"MG201","MonumentoGaribaldi","1",0.187508915467564,0.250030259302915,25.5547509215931,24.8,1.82,0.0352,0.27,0.00555,0.428,65.34,7.78,9.89,10.7
"MG202","MonumentoGaribaldi","1",0.192505447905257,0.212023196084755,25.918123413547,24.7,1.87,0.0407,0.339,0.0102,0.323,66.01,7.12,8.89,11.5
"MG203","MonumentoGaribaldi","1",0.197373413778959,0.0877946409010551,28.0199511178239,25.4,2.01,0.0558,0.358,0.01,0.338,67.21,3.5,8.13000000000001,12
"MG302","MonumentoGaribaldi","1",0.431613314700758,0.0213165958757706,8.82984495543683,8.64,1.72,0.0242,0.522,0.0234,0.152,52.98,11.78,1.61000000000001,8.27
"MG303","MonumentoGaribaldi","1",0.473013354510201,-0.122693279769396,6.74643954568194,6.62,1.75,0.0213,0.489,0.0147,0.185,47.24,7.33000000000001,4.09,8.03
"MG304","MonumentoGaribaldi","1",0.49393961233256,-0.122161271425312,5.77101161186543,5.65,1.42,0.0246,0.428,0.0122,0.0998,46.18,5.39,5.51,7.99
"MG305","MonumentoGaribaldi","1",0.481641034530414,-0.118267434405933,6.40865067910495,6.27,1.67,0.0225,0.455,0.0191,0.153,47.25,6.62,4.89,8.43
"MG306","MonumentoGaribaldi","1",0.492167160906288,-0.128475112450211,5.72392258412195,5.6,1.57,0.0241,0.457,0.0144,0.188,46.74,6.45,4.64,7.88
"MG307","MonumentoGaribaldi","1",0.493470014689081,-0.132915768540776,6.42773304823994,6.29,1.64,0.0236,0.447,0.017,0.224,46.89,8.01,8.86,8.68
"MG308","MonumentoGaribaldi","1",0.478160349266315,-0.0752009897520565,7.07197522124851,6.92,1.54,0.0248,0.435,0.0174,0.248,48.65,7.21,7.33,8.84
"MG309","MonumentoGaribaldi","1",0.488349433576083,-0.0751505696587035,6.20825903713317,6.08,1.49,0.0226,0.37,0.0159,0.168,47.65,5.63,6.06,7.72
"MG310","MonumentoGaribaldi","1",0.468560250326884,-0.0699294865718479,7.52555927718236,7.34,1.49,0.0301,0.444,0.0192,0.147,50.14,8,6.4,8.91
"MG312","MonumentoGaribaldi","1",0.439026781546474,0.026122118991305,8.80879129663879,8.65,1.61,0.0232,0.38,0.0151,0.199,52.16,7.16,4.22000000000001,8.42
"MG313","MonumentoGaribaldi","1",0.486626203803853,-0.0467003933519223,7.28011686946347,7.12,1.46,0.0225,0.318,0.0228,0.202,48.45,6.37,11.17,7.78
"MG314","MonumentoGaribaldi","1",0.488796209533444,-0.118584918247961,6.03495571689018,5.91,1.61,0.0205,0.378,0.0186,0.19,46.25,5.76,5.27,7.42
"MG315","MonumentoGaribaldi","1",0.504769892713397,-0.120281104645024,5.86141810274021,5.74,1.55,0.0228,0.355,0.0146,0.135,46.51,5.87,9.54,8.62
"MG316","MonumentoGaribaldi","1",0.490119080410304,-0.131897566173643,6.10099666833066,5.98,1.59,0.0217,0.388,0.0149,0.119,46.03,7.07,6.11,7.75
"MG317","MonumentoGaribaldi","1",0.490615890486485,-0.130538953749792,5.88605795818247,5.77,1.63,0.022,0.378,0.0135,0.169,46.41,5.77,5.12,7.53
"MG318","MonumentoGaribaldi","1",0.479351405965439,-0.0883767657124851,6.8201039657409,6.69,1.56,0.021,0.378,0.0162,0.181,47.16,6.7,6.53,7.71
"MG319","MonumentoGaribaldi","1",0.460232630829953,-0.0527133397997386,7.16725611600391,7.04,1.69,0.0201,0.378,0.0151,0.231,48.94,11.87,2.27,7.55
"MG320","MonumentoGaribaldi","1",0.435512724209516,0.0256372780606992,8.71176789955507,8.5,1.66,0.0265,0.359,0.0275,0.386,53.45,10.81,2,8.2
"MG323","MonumentoGaribaldi","1",0.473391630298725,0.00403380276364276,8.49632379531353,7.89,1.99,0.0176,0.413,0.0156,0.302,52.05,14.55,9.17,10.2
"MG324","MonumentoGaribaldi","1",0.439979682306265,0.0411156912771321,9.62505952498577,9.27,1.85,0.0256,0.4,0.0199,0.327,54.92,13.41,7.12,10.1
"MG326","MonumentoGaribaldi","1",0.507770534961487,-0.0794732985477882,8.05340784058359,7.91,1.57,0.0223,0.48,0.0141,0.167,47.96,13.29,22.55,12.8
"MG327","MonumentoGaribaldi","1",0.395262321703602,0.0963453741738266,11.779839933484,11.1,1.92,0.0219,0.452,0.0397,0.51,56.21,12.3,1.33,9.21
"MG328","MonumentoGaribaldi","1",0.411945439665843,0.0509513774991126,10.7467143171275,10.4,1.83,0.0223,0.387,0.0269,0.381,54.17,10.64,4.34,8.59
