"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","N5","S","R","I","FS","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"ET411","EustonTap","1",-0.123241691464394,0.111826040744779,2.89435681118812,3.94593635018818,2.00480972601032,18,1.6,0.0329,0.299,0.00435,60.95,7.63,10.69,49.3
"ET412","EustonTap","1",-0.100149626973668,0.119447706419964,2.76290010754419,3.6948070179693,1.96336292583775,17.7,1.92,0.0353,0.394,0.00354,63,2.69,8.43000000000001,52.93
"ET413","EustonTap","1",-0.110966990011976,0.134591140083979,2.83965522183545,3.74039646322978,1.97032032043926,18.1,1.71,0.0342,0.403,0.00582,61.94,4.07,8.74000000000001,51.38
"ET414","EustonTap","1",-0.0987134466054481,0.202292283808827,2.83459461487175,3.44660621631571,1.87544918269349,19.5,1.63,0.0394,0.306,0.00392,65.36,3.48,5.27,53.79
"ET415","EustonTap","1",-0.0783298593723049,0.120300631227746,2.84198826837739,3.63239980005643,1.9048540575294,15.4,1.72,0.0354,0.338,0.00408,62.05,1.28,11.5,50.93
"ET416","EustonTap","1",-0.184310826563281,0.151325172777961,2.65635486274049,3.77717847968951,1.70475409913271,29.9,2.14,0.0405,0.31,0.00572,67.07,6.81000000000001,10,56.84
"ET417","EustonTap","1",-0.12265357863914,0.153579412222941,2.74111219195633,3.68870572990192,1.67507511669006,21,1.93,0.0359,0.299,0.00408,64.53,2.05,12.7,54.59
"ET418","EustonTap","1",-0.110535025535249,0.156263004092347,2.76913600031615,3.70028060625715,1.87510064455558,18.2,1.86,0.0339,0.294,0.00539,63.33,2.88,8.07000000000001,53.86
"ET419","EustonTap","1",-0.18934965210206,0.227788834054343,2.49147079170484,3.5696193511874,1.42801708926794,34.1,2.45,0.0473,0.357,0.00631,73,7.03,7.28,63.64
"ET420","EustonTap","1",-0.142445978277361,0.203990097897011,2.61785569465228,3.43030886672193,1.6960518253654,25.7,2.17,0.0396,0.344,0.00668,68.93,1.08999999999999,5.22999999999999,59.47
"ET421","EustonTap","1",-0.11382786792992,0.194796283220219,2.68885310411066,3.37840670404095,1.73560075402913,22.9,2,0.0412,0.313,0.00502,68.52,1.39,6.18000000000001,57.44
"ET422","EustonTap","1",-0.108474954989361,0.107276856998509,2.70907122001043,3.68201988176098,1.91773511219929,19,2.07,0.0351,0.295,0.0128,63.85,1.3,9.45,53.95
"ET423","EustonTap","1",-0.105496100511878,0.0751692373178517,2.8185420166512,4.01732852979153,2.09767402971143,15.1,1.84,0.0311,0.295,0.00375,60.25,6.58,9.83,50.03
"ET424","EustonTap","1",-0.145405926725057,0.143288087024271,2.65857359192636,3.95242475381778,1.80945123396441,23.1,2.15,0.0381,0.326,0.00638,65.53,9.31,8.28999999999999,56.4
"ET425","EustonTap","1",-0.198896375953346,0.202929065154878,2.69196059123923,3.85633491270977,1.73999112452294,30.3,1.98,0.0406,0.322,0.00603,69.18,12.4,5.36,57.66
"ET426","EustonTap","1",-0.165913424402782,0.232406450127928,2.71337491146207,3.57843336542869,1.64080175453201,30.3,1.89,0.047,0.349,0.00585,69.35,9.73,6.11,58
"ET427","EustonTap","1",-0.235724032397005,0.271734750043113,2.63549267973395,3.47778017215011,1.50205151979417,39,2.03,0.0463,0.328,0.0057,72.8,8.39,4.63000000000001,61.37
"ET428","EustonTap","1",-0.154488908679725,0.151485849870684,2.82237238255478,3.97335247440251,1.9002783564848,22.2,1.73,0.0345,0.324,0.00389,63.03,9.73999999999999,8.73999999999999,52.4
"ET429","EustonTap","1",-0.199962954635981,0.292752632540257,2.63976425893799,3.40714305588272,1.46081921783655,36.1,1.99,0.0498,0.33,0.00497,73.9,9.53,3.94999999999999,61.98
"ET430","EustonTap","1",-0.106730182676374,0.0572752973640759,2.80464686102286,4.05221976092938,2.10751403372229,14.8,1.9,0.0297,0.325,0.00319,59.37,5.47,10.87,49.77
"ET431","EustonTap","1",-0.261079348783304,0.267536973521186,2.63405325352573,4.02719647453628,1.4191813121488,37.5,2.04,0.042,0.307,0.00567,72.45,17.38,7.17,61.25
"ET432","EustonTap","1",-0.21372091029628,0.233551101857755,2.76615402427643,3.90347287345067,1.64755292867885,31,1.76,0.0386,0.322,0.00505,67.66,12.72,7.18000000000001,56.58
"ET433","EustonTap","1",-0.209337667605777,0.219122110782483,2.71312535823513,3.92988463854937,1.64373228002099,30.5,1.91,0.0386,0.305,0.00478,68.36,12.54,7.25,57.53
"ET434","EustonTap","1",-0.256514440863771,0.239694912960848,2.67051562771957,3.57916378714433,1.5355077173778,39.3,1.99,0.0407,0.321,0.0044,69.67,5.77000000000001,7.5,59.29
"ET435","EustonTap","1",-0.129725817026158,0.109564063149469,2.77382787430584,3.98231529458978,2.02626853237797,18.6,1.91,0.0322,0.309,0.00609,61.47,7.01,8.11,52.22
"ET436","EustonTap","1",-0.163878087020112,0.235558199089039,2.72139804490145,3.61181456770522,1.6830396742686,27.2,1.87,0.0405,0.311,0.00486,68.27,7.37,5.18000000000001,57.79
"ET437","EustonTap","1",-0.21151144369815,0.185410831459834,2.80901817040994,4.07399776086639,1.80157178509352,28.7,1.71,0.0359,0.322,0.00442,66.68,14.93,7.66999999999999,54.06
"ET438","EustonTap","1",-0.234073527005314,0.23575566254432,2.52047675684862,3.92190849305523,1.52536483389844,35,2.37,0.0415,0.325,0.00708,72.11,13.06,4.88,63.07
